fold,threshold,macro_f05,train_entities,val_entities,val_pairs
1,0.9000000000000004,0.9813014019869077,6666,3334,333399
2,0.9500000000000004,0.983634471747797,6667,3333,333300
3,0.9500000000000004,0.9840996258425238,6667,3333,333300
