threshold,macro_f05
0.05,0.9191769881130025
0.07500000000000001,0.9308709410675273
0.10000000000000002,0.9401663240945095
0.12500000000000003,0.9457576626492401
0.15000000000000002,0.9501631123534434
0.17500000000000004,0.9532206495273611
0.20000000000000007,0.9563274158186875
0.22500000000000003,0.9595246318209426
0.25000000000000006,0.9619205282599558
0.2750000000000001,0.9637605393500418
0.3000000000000001,0.9659522603789386
0.32500000000000007,0.9679616630933745
0.3500000000000001,0.9695118609624572
0.3750000000000001,0.9708168494241379
0.4000000000000001,0.9722629005301533
0.4250000000000001,0.9734237049371489
0.4500000000000001,0.9738117641493427
0.47500000000000014,0.9749145152975501
0.5000000000000002,0.975643078950534
0.5250000000000001,0.9765866162977445
0.5500000000000003,0.9772301285872981
0.5750000000000002,0.9780230687624493
0.6000000000000002,0.9782227695068016
0.6250000000000002,0.9788374531303814
0.6500000000000002,0.9791653833683731
0.6750000000000003,0.979589435126955
0.7000000000000003,0.9803189022478022
0.7250000000000003,0.9807358491120043
0.7500000000000002,0.9808352732020194
0.7750000000000002,0.9818517152738699
0.8000000000000003,0.9828877337775183
0.8250000000000003,0.9825599549653428
0.8500000000000003,0.9830786253273266
0.8750000000000003,0.9834409057387272
0.9000000000000004,0.9836782013311026
0.9250000000000004,0.9830416201311066
0.9500000000000004,0.9826797572519521
0.9750000000000003,0.9822349529801648
